game_id,rank_type,rank,best_num_players,not_recommended_num_players,language_dependency,avg_rating,avg_bayes_rating,users_rated,avg_weight,total_owners,updated_at
32,abstracts,445,2,1,No necessary in-game text,6.07625,5.58386,367,1.6154,764,2024-01-25 10:08:12
34,boardgame,5392,4,7,Extensive use of text - massive conversion needed to be playable,6.64709,5.71398,565,2.4082,960,2024-01-25 10:08:12
34,thematic,893,4,7,Extensive use of text - massive conversion needed to be playable,6.64709,5.71398,565,2.4082,960,2024-01-25 10:08:12
36,boardgame,7019,2,1,Extensive use of text - massive conversion needed to be playable,6.41026,5.63516,419,4.4032,1221,2024-01-25 10:08:12
36,wargames,1306,2,1,Extensive use of text - massive conversion needed to be playable,6.41026,5.63516,419,4.4032,1221,2024-01-25 10:08:12
37,boardgame,19245,1,1,No necessary in-game text,5.78882,5.50967,152,2.0909,388,2024-01-25 10:08:12
37,wargames,3672,1,1,No necessary in-game text,5.78882,5.50967,152,2.0909,388,2024-01-25 10:08:12
38,boardgame,14218,4,1,No necessary in-game text,6.14804,5.53216,102,1.9,300,2024-01-25 10:08:12
39,boardgame,22572,1,1,No necessary in-game text,5.32838,5.49356,111,2.4444,298,2024-01-25 10:08:12
39,thematic,1498,1,1,No necessary in-game text,5.32838,5.49356,111,2.4444,298,2024-01-25 10:08:12
39,strategygames,2808,1,1,No necessary in-game text,5.32838,5.49356,111,2.4444,298,2024-01-25 10:08:12
40,boardgame,7250,4,2,Some necessary text - easily memorized or small crib sheet,6.73703,5.628,278,2.7826,590,2024-01-25 10:08:12
40,wargames,1242,4,2,Some necessary text - easily memorized or small crib sheet,6.73703,5.628,278,2.7826,590,2024-01-25 10:08:12
40,thematic,1009,4,2,Some necessary text - easily memorized or small crib sheet,6.73703,5.628,278,2.7826,590,2024-01-25 10:08:12
41,boardgame,776,3,1,No necessary in-game text,6.90563,6.74481,17886,1.1496,17017,2024-01-25 10:08:12
41,familygames,227,3,1,No necessary in-game text,6.90563,6.74481,17886,1.1496,17017,2024-01-25 10:08:12
42,boardgame,103,4,1,No necessary in-game text,7.70489,7.5228,28410,3.5009,31079,2024-01-25 10:08:12
42,strategygames,91,4,1,No necessary in-game text,7.70489,7.5228,28410,3.5009,31079,2024-01-25 10:08:12
43,boardgame,6330,4,1,No necessary in-game text,6.56726,5.66236,377,2.4242,504,2024-01-25 10:08:12
43,strategygames,2032,4,1,No necessary in-game text,6.56726,5.66236,377,2.4242,504,2024-01-25 10:08:12
44,boardgame,3142,4,1,No necessary in-game text,6.48671,5.95034,1695,1.6188,2018,2024-01-25 10:08:12
44,familygames,963,4,1,No necessary in-game text,6.48671,5.95034,1695,1.6188,2018,2024-01-25 10:08:12
45,boardgame,821,6,1,No necessary in-game text,6.91343,6.71465,14909,1.2563,20057,2024-01-25 10:08:12
45,partygames,59,6,1,No necessary in-game text,6.91343,6.71465,14909,1.2563,20057,2024-01-25 10:08:12
45,familygames,238,6,1,No necessary in-game text,6.91343,6.71465,14909,1.2563,20057,2024-01-25 10:08:12
46,boardgame,666,5,2,No necessary in-game text,7.16487,6.81666,8099,2.2475,8651,2024-01-25 10:08:12
46,strategygames,425,5,2,No necessary in-game text,7.16487,6.81666,8099,2.2475,8651,2024-01-25 10:08:12
47,boardgame,353,5,2,No necessary in-game text,7.42645,7.10593,11084,2.2463,14022,2024-01-25 10:08:12
47,strategygames,246,5,2,No necessary in-game text,7.42645,7.10593,11084,2.2463,14022,2024-01-25 10:08:12
48,boardgame,6465,4,2,No necessary in-game text,6.09305,5.6567,738,2.4638,1506,2024-01-25 10:08:12
48,strategygames,2092,4,2,No necessary in-game text,6.09305,5.6567,738,2.4638,1506,2024-01-25 10:08:12
49,boardgame,1938,4,1,No necessary in-game text,6.47393,6.2149,6193,1.3631,8488,2024-01-25 10:08:12
49,familygames,638,4,1,No necessary in-game text,6.47393,6.2149,6193,1.3631,8488,2024-01-25 10:08:12
50,boardgame,328,2,1,No necessary in-game text,7.23199,7.12939,45535,1.4796,65785,2024-01-25 10:08:12
50,familygames,77,2,1,No necessary in-game text,7.23199,7.12939,45535,1.4796,65785,2024-01-25 10:08:12
51,boardgame,832,4,1,No necessary in-game text,7.0256,6.70927,9039,2.3852,9603,2024-01-25 10:08:12
51,abstracts,48,4,1,No necessary in-game text,7.0256,6.70927,9039,2.3852,9603,2024-01-25 10:08:12
52,boardgame,8059,3,1,Moderate in-game text - needs crib sheet or paste ups,6.17994,5.6047,525,2.6087,991,2024-01-25 10:08:12
52,wargames,2107,3,1,Moderate in-game text - needs crib sheet or paste ups,6.17994,5.6047,525,2.6087,991,2024-01-25 10:08:12
53,boardgame,19719,1,1,No necessary in-game text,5.98026,5.50778,38,2.5,113,2024-01-25 10:08:12
54,boardgame,326,4,1,No necessary in-game text,7.32786,7.13014,19958,2.7822,26829,2024-01-25 10:08:12
54,strategygames,251,4,1,No necessary in-game text,7.32786,7.13014,19958,2.7822,26829,2024-01-25 10:08:12
55,boardgame,24787,4,1,Extensive use of text - massive conversion needed to be playable,4.8567,5.46529,97,1.5,295,2024-01-25 10:08:12
57,boardgame,5695,4,1,Some necessary text - easily memorized or small crib sheet,6.65378,5.69452,427,2.9216,915,2024-01-25 10:08:12
57,strategygames,1947,4,1,Some necessary text - easily memorized or small crib sheet,6.65378,5.69452,427,2.9216,915,2024-01-25 10:08:12
58,boardgame,3222,4,1,Moderate in-game text - needs crib sheet or paste ups,6.51858,5.93628,1681,2.6442,3531,2024-01-25 10:08:12
58,thematic,647,4,1,Moderate in-game text - needs crib sheet or paste ups,6.51858,5.93628,1681,2.6442,3531,2024-01-25 10:08:12
59,boardgame,2845,4,1,No necessary in-game text,6.69966,5.9999,1429,2.5693,2025,2024-01-25 10:08:12
59,strategygames,1291,4,1,No necessary in-game text,6.69966,5.9999,1429,2.5693,2025,2024-01-25 10:08:12
60,boardgame,1146,4,2,Some necessary text - easily memorized or small crib sheet,7.06626,6.52604,4047,2.7805,3847,2024-01-25 10:08:12
60,strategygames,655,4,2,Some necessary text - easily memorized or small crib sheet,7.06626,6.52604,4047,2.7805,3847,2024-01-25 10:08:12
61,boardgame,24134,3,1,No necessary in-game text,5.43434,5.47913,678,1.75,1006,2024-01-25 10:08:12
61,abstracts,1282,3,1,No necessary in-game text,5.43434,5.47913,678,1.75,1006,2024-01-25 10:08:12
62,boardgame,24758,3,1,No necessary in-game text,5.31473,5.46619,353,1.8462,681,2024-01-25 10:08:12
62,thematic,1553,3,1,No necessary in-game text,5.31473,5.46619,353,1.8462,681,2024-01-25 10:08:12
63,boardgame,6593,4,1,Moderate in-game text - needs crib sheet or paste ups,6.44871,5.65112,448,2.6296,1223,2024-01-25 10:08:12
63,wargames,1273,4,1,Moderate in-game text - needs crib sheet or paste ups,6.44871,5.65112,448,2.6296,1223,2024-01-25 10:08:12
64,boardgame,7393,4,1,Some necessary text - easily memorized or small crib sheet,6.25809,5.62304,465,2.5424,795,2024-01-25 10:08:12
64,wargames,1512,4,1,Some necessary text - easily memorized or small crib sheet,6.25809,5.62304,465,2.5424,795,2024-01-25 10:08:12
64,strategygames,2244,4,1,Some necessary text - easily memorized or small crib sheet,6.25809,5.62304,465,2.5424,795,2024-01-25 10:08:12
65,boardgame,Not Ranked,1,1,No necessary in-game text,4.16071,0,28,1.3333,59,2024-01-25 10:08:12
66,boardgame,1516,4,1,Some necessary text - easily memorized or small crib sheet,7.03867,6.35759,2589,2.8728,3824,2024-01-25 10:08:12
66,strategygames,799,4,1,Some necessary text - easily memorized or small crib sheet,7.03867,6.35759,2589,2.8728,3824,2024-01-25 10:08:12
67,boardgame,7119,2,1,No necessary in-game text,6.39267,5.63174,382,2.4848,875,2024-01-25 10:08:12
67,wargames,1578,2,1,No necessary in-game text,6.39267,5.63174,382,2.4848,875,2024-01-25 10:08:12
68,boardgame,4418,4,1,Extensive use of text - massive conversion needed to be playable,7.03613,5.78902,501,3.2206,912,2024-01-25 10:08:12
68,wargames,502,4,1,Extensive use of text - massive conversion needed to be playable,7.03613,5.78902,501,3.2206,912,2024-01-25 10:08:12
69,boardgame,15729,2,1,No necessary in-game text,6.71458,5.52456,48,2.4,113,2024-01-25 10:08:12
69,abstracts,793,2,1,No necessary in-game text,6.71458,5.52456,48,2.4,113,2024-01-25 10:08:12
70,boardgame,1862,3,5,No necessary in-game text,6.85772,6.23729,2447,2.2154,2679,2024-01-25 10:08:12
70,strategygames,965,3,5,No necessary in-game text,6.85772,6.23729,2447,2.2154,2679,2024-01-25 10:08:12
70,familygames,543,3,5,No necessary in-game text,6.85772,6.23729,2447,2.2154,2679,2024-01-25 10:08:12
71,boardgame,426,7,2,Some necessary text - easily memorized or small crib sheet,7.49712,7.02367,7477,3.6473,11003,2024-01-25 10:08:12
71,strategygames,298,7,2,Some necessary text - easily memorized or small crib sheet,7.49712,7.02367,7477,3.6473,11003,2024-01-25 10:08:12
72,boardgame,2472,4,1,No necessary in-game text,6.67605,6.08015,1987,2.5676,4332,2024-01-25 10:08:12
72,strategygames,1184,4,1,No necessary in-game text,6.67605,6.08015,1987,2.5676,4332,2024-01-25 10:08:12
73,boardgame,2019,6,1,No necessary in-game text,6.98718,6.19196,1802,2.0938,2041,2024-01-25 10:08:12
73,strategygames,986,6,1,No necessary in-game text,6.98718,6.19196,1802,2.0938,2041,2024-01-25 10:08:12
