boardgamepublisher_id,game_id,boardgameartist_id,language,language_id,boardgame_version_id,boardgameartist,boardgamepublisher
,11,,English,2184,20487,,
33618,11,,,,571563,,Fractal Juegos
,11,12024,,,571563,Björn Pertoft,
,11,,Spanish,2203,571563,,
155,11,,,,33276,,Gigamic
,11,12024,,,33276,Björn Pertoft,
,11,,French,2187,33276,,
155,11,,,,283891,,Gigamic
,11,12024,,,283891,Björn Pertoft,
,11,,French,2187,283891,,
155,11,,,,211236,,Gigamic
,11,12024,,,211236,Björn Pertoft,
,11,,French,2187,211236,,
5640,11,,,,84174,,Kikigagne?
,11,12024,,,84174,Björn Pertoft,
,11,,French,2187,84174,,
8,11,,,,187693,,AMIGO
,11,28004,,,187693,Fréderic Bertrand,
,11,44242,,,187693,Marek Bláha,
,11,12035,,,187693,Andrea Boekhoff,
,11,11507,,,187693,Klemens Franz,
,11,11901,,,187693,Oliver Freudenreich,
,11,65041,,,187693,Inge George,
,11,308,,,187693,Guido Hoffmann,
,11,12123,,,187693,Alexander Jung,
,11,4959,,,187693,Harald Lieske,
,11,74,,,187693,Doris Matthäus,
,11,12024,,,187693,Björn Pertoft,
,11,233,,,187693,Johann Rüttinger,
,11,12102,,,187693,Barbara Stachuletz,
,11,11883,,,187693,Franz Vohwinkel,
,11,12038,,,187693,Markus Wagner,
,11,,German,2188,187693,,
8,11,,,,321023,,AMIGO
,11,12024,,,321023,Björn Pertoft,
,11,,German,2188,321023,,
8,11,,,,683273,,AMIGO
,11,12024,,,683273,Björn Pertoft,
,11,,German,2188,683273,,
8,11,,,,20461,,AMIGO
,11,12024,,,20461,Björn Pertoft,
,11,,German,2188,20461,,
8,11,,,,26372,,AMIGO
,11,12024,,,26372,Björn Pertoft,
,11,,German,2188,26372,,
155,11,,,,348114,,Gigamic
,11,12024,,,348114,Björn Pertoft,
,11,,French,2187,348114,,
5530,11,,,,414400,,Giochi Uniti
,11,,Italian,2193,414400,,
6214,11,,,,33273,,Kaissa Chess & Games
,11,12024,,,33273,Björn Pertoft,
,11,,Greek,2189,33273,,
8,11,,,,519366,,AMIGO
6214,11,,,,519366,,Kaissa Chess & Games
,11,12024,,,519366,Björn Pertoft,
,11,,Greek,2189,519366,,
22,11,,,,33274,,Piatnik
,11,12024,,,33274,Björn Pertoft,
,11,,Hungarian,2191,33274,,
22,11,,,,558299,,Piatnik
,11,12024,,,558299,Björn Pertoft,
,11,,Hungarian,2191,558299,,
3888,11,,,,95171,,Stratelibri
,11,10,,,95171,Uwe Rosenberg,
,11,,Italian,2193,95171,,
3888,11,,,,95285,,Stratelibri
,11,12024,,,95285,Björn Pertoft,
,11,,Italian,2193,95285,,
3504,11,,,,81332,,Möbius Games
,11,12024,,,81332,Björn Pertoft,
,11,,Japanese,2194,81332,,
3504,11,,,,668744,,Möbius Games
,11,,Japanese,2194,668744,,
6214,11,,,,258080,,Kaissa Chess & Games
,11,12024,,,258080,Björn Pertoft,
,11,,Greek,2189,258080,,
5640,11,,,,261080,,Kikigagne?
,11,10,,,261080,Uwe Rosenberg,
,11,,French,2187,261080,,
8,11,,,,578165,,AMIGO
8291,11,,,,578165,,Korea Boardgames
,11,,Korean,2195,578165,,
8,11,,,,578166,,AMIGO
8291,11,,,,578166,,Korea Boardgames
,11,12024,,,578166,Björn Pertoft,
,11,,Korean,2195,578166,,
8291,11,,,,33266,,Korea Boardgames
,11,12024,,,33266,Björn Pertoft,
,11,,Korean,2195,33266,,
7162,11,,,,81333,,Brain Games
,11,12024,,,81333,Björn Pertoft,
,11,,Latvian,2196,81333,,
,11,,Russian,2202,81333,,
3218,11,,,,33269,,Lautapelit.fi
,11,12024,,,33269,Björn Pertoft,
,11,,Finnish,2186,33269,,
,11,,Swedish,2204,33269,,
7162,11,,,,222402,,Brain Games
,11,12024,,,222402,Björn Pertoft,
,11,,Lithuanian,2197,222402,,
,11,,Russian,2202,222402,,
234,11,,,,20535,,Lookout Games
,11,11507,,,20535,Klemens Franz,
,11,12024,,,20535,Björn Pertoft,
,11,,German,2188,20535,,
7772,11,,,,30875,,Mercurio
,11,12024,,,30875,Björn Pertoft,
,11,,Spanish,2203,30875,,
7772,11,,,,622898,,Mercurio
,11,,Spanish,2203,622898,,
3218,11,,,,22214,,Lautapelit.fi
,11,11507,,,22214,Klemens Franz,
,11,12024,,,22214,Björn Pertoft,
,11,,Danish,2182,22214,,
,11,,Estonian,2185,22214,,
,11,,Finnish,2186,22214,,
,11,,Icelandic,2347,22214,,
,11,,Norwegian,2198,22214,,
,11,,Swedish,2204,22214,,
8,11,,,,274171,,AMIGO
3218,11,,,,274171,,Lautapelit.fi
,11,12024,,,274171,Björn Pertoft,
,11,,Danish,2182,274171,,
,11,,Finnish,2186,274171,,
,11,,Norwegian,2198,274171,,
,11,,Swedish,2204,274171,,
8,11,,,,628306,,AMIGO
3218,11,,,,628306,,Lautapelit.fi
44204,11,,,,628306,,Spilbræt.dk
,11,12024,,,628306,Björn Pertoft,
,11,,Danish,2182,628306,,
,11,,Finnish,2186,628306,,
,11,,Norwegian,2198,628306,,
,11,,Swedish,2204,628306,,
8,11,,,,578163,,AMIGO
2528,11,,,,578163,,Paper Iyagi
,11,12024,,,578163,Björn Pertoft,
,11,,Korean,2195,578163,,
32581,11,,,,355654,,PaperGames (III)
,11,12024,,,355654,Björn Pertoft,
,11,,Portuguese,2200,355654,,
8845,11,,,,33277,,G3
,11,,Polish,2199,33277,,
8,11,,,,387050,,AMIGO
8845,11,,,,387050,,G3
,11,12024,,,387050,Björn Pertoft,
,11,,Polish,2199,387050,,
8,11,,,,271000,,AMIGO
8845,11,,,,271000,,G3
,11,12024,,,271000,Björn Pertoft,
,11,,Polish,2199,271000,,
8,11,,,,24112,,AMIGO
8845,11,,,,24112,,G3
,11,12024,,,24112,Björn Pertoft,
,11,,Polish,2199,24112,,
8,11,,,,31690,,AMIGO
3,11,,,,31690,,Rio Grande Games
,11,12024,,,31690,Björn Pertoft,
,11,,English,2184,31690,,
234,11,,,,20551,,Lookout Games
3,11,,,,20551,,Rio Grande Games
,11,11507,,,20551,Klemens Franz,
,11,12024,,,20551,Björn Pertoft,
,11,,English,2184,20551,,
3,11,,,,436771,,Rio Grande Games
,11,12024,,,436771,Björn Pertoft,
,11,10,,,436771,Uwe Rosenberg,
,11,,English,2184,436771,,
3,11,,,,392672,,Rio Grande Games
,11,12024,,,392672,Björn Pertoft,
,11,10,,,392672,Uwe Rosenberg,
,11,,English,2184,392672,,
,11,,French,2187,392672,,
22,11,,,,259614,,Piatnik
,11,12024,,,259614,Björn Pertoft,
,11,,Romanian,2201,259614,,
8,11,,,,601730,,AMIGO
9325,11,,,,601730,,Lifestyle Boardgames Ltd
,11,12024,,,601730,Björn Pertoft,
,11,,Russian,2202,601730,,
9325,11,,,,29683,,Lifestyle Boardgames Ltd
,11,12024,,,29683,Björn Pertoft,
,11,,Russian,2202,29683,,
8,11,,,,263040,,AMIGO
3395,11,,,,263040,,Midgaard Games
,11,,Danish,2182,263040,,
,11,,Norwegian,2198,263040,,
,11,,Swedish,2204,263040,,
3888,11,,,,95278,,Stratelibri
,11,12024,,,95278,Björn Pertoft,
,11,,Italian,2193,95278,,
28620,12,,,,672969,,25th Century Games
45510,12,,,,672969,,Rawstone
,12,,Chinese,2181,672969,,
28620,12,,,,672967,,25th Century Games
45510,12,,,,672967,,Rawstone
,12,,Chinese,2181,672967,,
28620,12,,,,613217,,25th Century Games
,12,64844,,,613217,Ian O'Toole,
,12,,English,2184,613217,,
28620,12,,,,507779,,25th Century Games
,12,64844,,,507779,Ian O'Toole,
,12,,English,2184,507779,,
28620,12,,,,695738,,25th Century Games
30091,12,,,,695738,,Tranjis Games
,12,,Spanish,2203,695738,,
9,12,,,,24254,,alea
,12,11883,,,24254,Franz Vohwinkel,
,12,,German,2188,24254,,
23205,12,,,,567254,,DiceTree Games
,12,139382,,,567254,Gahyun Lee,
,12,,German,2188,567254,,
,12,,Korean,2195,567254,,
23205,12,,,,515037,,DiceTree Games
,12,139382,,,515037,Gahyun Lee,
,12,,Korean,2195,515037,,
267,12,,,,23696,,999 Games
,12,11883,,,23696,Franz Vohwinkel,
,12,,Dutch,2183,23696,,
31987,12,,,,303967,,Windrider Games
,12,,English,2184,303967,,
2973,12,,,,326672,,Edge Entertainment
,12,,French,2187,326672,,
36563,12,,,,683701,,Reflexshop
,12,,Hungarian,2191,683701,,
9881,12,,,,321224,,"New Games Order, LLC"
,12,,Japanese,2194,321224,,
8291,12,,,,121147,,Korea Boardgames
,12,,Korean,2195,121147,,
42294,12,,,,528298,,Precisamente
,12,106255,,,528298,Tiago Sousa,
,12,,Portuguese,2200,528298,,
9,12,,,,26032,,alea
3,12,,,,26032,,Rio Grande Games
,12,11883,,,26032,Franz Vohwinkel,
,12,,English,2184,26032,,
3,12,,,,24314,,Rio Grande Games
,12,11883,,,24314,Franz Vohwinkel,
,12,,English,2184,24314,,
,12,,German,2188,24314,,
3,12,,,,203742,,Rio Grande Games
,12,11883,,,203742,Franz Vohwinkel,
,12,,English,2184,203742,,
,12,,German,2188,203742,,
28620,12,,,,695767,,25th Century Games
18852,12,,,,695767,,Hobby World
,12,,Russian,2202,695767,,
2973,12,,,,334516,,Edge Entertainment
,12,,Spanish,2203,334516,,
9234,12,,,,80853,,"Swan Panasia Co., Ltd."
,12,20789,,,80853,Allison Kline,
,12,11883,,,80853,Franz Vohwinkel,
,12,,Chinese,2181,80853,,
1901,12,,,,231928,,Überplay
,12,20789,,,231928,Allison Kline,
,12,11883,,,231928,Franz Vohwinkel,
,12,,English,2184,231928,,
1901,12,,,,21283,,Überplay
,12,20789,,,21283,Allison Kline,
,12,11883,,,21283,Franz Vohwinkel,
,12,,English,2184,21283,,
31418,13,,,,416798,,Catan Studio
,13,,Afrikaans,2677,416798,,
37,13,,,,467634,,KOSMOS
,13,,Afrikaans,2677,467634,,
37,13,,,,485967,,KOSMOS
,13,,Arabic,2178,485967,,
,13,,English,2184,485967,,
7162,13,,,,24623,,Brain Games
,13,11825,,,24623,Michael Menzel,
,13,,Estonian,2185,24623,,
,13,,Latvian,2196,24623,,
,13,,Lithuanian,2197,24623,,
7162,13,,,,350700,,Brain Games
,13,11825,,,350700,Michael Menzel,
,13,,Estonian,2185,350700,,
,13,,Latvian,2196,350700,,
,13,,Lithuanian,2197,350700,,
2366,13,,,,349585,,Devir
,13,11825,,,349585,Michael Menzel,
,13,,Basque,2711,349585,,
29036,13,,,,213544,,IntelliGames.BG
,13,,Bulgarian,2675,213544,,
29036,13,,,,296764,,IntelliGames.BG
,13,,Bulgarian,2675,296764,,
4358,13,,,,467003,,"Capcom Co., Ltd."
,13,,Japanese,2194,467003,,
2366,13,,,,65814,,Devir
,13,,Catalan,2179,65814,,
31418,13,,,,347121,,Catan Studio
,13,11825,,,347121,Michael Menzel,
,13,,English,2184,347121,,
31418,13,,,,495726,,Catan Studio
,13,11825,,,495726,Michael Menzel,
,13,,English,2184,495726,,
31418,13,,,,568647,,Catan Studio
,13,13034,,,568647,Pete Fenlon,
,13,11825,,,568647,Michael Menzel,
,13,,English,2184,568647,,
37,13,,,,567299,,KOSMOS
9234,13,,,,567299,,"Swan Panasia Co., Ltd."
,13,11825,,,567299,Michael Menzel,
,13,,Chinese,2181,567299,,
37,13,,,,43527,,KOSMOS
9234,13,,,,43527,,"Swan Panasia Co., Ltd."
,13,,Chinese,2181,43527,,
9068,13,,,,562983,,Broadway Toys LTD
37,13,,,,562983,,KOSMOS
,13,,Chinese,2181,562983,,
37,13,,,,280462,,KOSMOS
,13,,Croatian,2656,280462,,
31372,13,,,,390664,,Igroljub
37,13,,,,390664,,KOSMOS
,13,,Croatian,2656,390664,,
,13,,Serbian,2681,390664,,
,13,,Slovenian,2207,390664,,
4304,13,,,,29557,,Albi
,13,,Czech,2180,29557,,
4304,13,,,,674578,,Albi
37,13,,,,674578,,KOSMOS
,13,26874,,,674578,Michaela Kienle,
,13,133362,,,674578,Andreas Klober,
,13,11825,,,674578,Michael Menzel,
,13,11898,,,674578,Andreas Resch,
,13,,Czech,2180,674578,,
4304,13,,,,599539,,Albi
,13,,Czech,2180,599539,,
,13,,Slovak,2206,599539,,
496,13,,,,70067,,danspil
,13,,Danish,2182,70067,,
496,13,,,,301655,,danspil
,13,,Danish,2182,301655,,
6784,13,,,,274025,,Enigma (Bergsala Enigma)
37,13,,,,274025,,KOSMOS
,13,11825,,,274025,Michael Menzel,
,13,,Danish,2182,274025,,
44204,13,,,,542435,,Spilbræt.dk
,13,,Danish,2182,542435,,
2366,13,,,,517244,,Devir
,13,11883,,,517244,Franz Vohwinkel,
,13,,Portuguese,2200,517244,,
267,13,,,,650135,,999 Games
,13,11825,,,650135,Michael Menzel,
,13,,Dutch,2183,650135,,
267,13,,,,343852,,999 Games
,13,11825,,,343852,Michael Menzel,
,13,,Dutch,2183,343852,,
267,13,,,,20781,,999 Games
37,13,,,,20781,,KOSMOS
,13,12382,,,20781,Tanja Donner,
,13,11883,,,20781,Franz Vohwinkel,
,13,,Dutch,2183,20781,,
267,13,,,,33795,,999 Games
,13,12382,,,33795,Tanja Donner,
,13,11883,,,33795,Franz Vohwinkel,
,13,,Dutch,2183,33795,,
267,13,,,,173152,,999 Games
,13,11825,,,173152,Michael Menzel,
,13,,Dutch,2183,173152,,
10,13,,,,20630,,Mayfair Games
,13,,English,2184,20630,,
10,13,,,,23765,,Mayfair Games
,13,12036,,,23765,Volkan Baga,
,13,13034,,,23765,Pete Fenlon,
,13,4959,,,23765,Harald Lieske,
,13,12063,,,23765,Stephen Graham Walsh,
,13,,English,2184,23765,,
10,13,,,,261544,,Mayfair Games
,13,12036,,,261544,Volkan Baga,
,13,13034,,,261544,Pete Fenlon,
,13,4959,,,261544,Harald Lieske,
,13,12063,,,261544,Stephen Graham Walsh,
,13,,English,2184,261544,,
10,13,,,,42682,,Mayfair Games
,13,,English,2184,42682,,
10,13,,,,24859,,Mayfair Games
,13,13034,,,24859,Pete Fenlon,
,13,5442,,,24859,Jason Hawkins,
,13,25612,,,24859,Matt Schwabel,
,13,12063,,,24859,Stephen Graham Walsh,
,13,,English,2184,24859,,
10,13,,,,265696,,Mayfair Games
,13,,English,2184,265696,,
