game_id,name,type,year_published,min_players,max_players,min_play_time,max_play_time,min_age,thumbnail
3027,Battle of Britain,boardgame,1975,2,4,60,60,10,https://cf.geekdo-images.com/EN_w4qhEuAijKbIeYI1Gmw__thumb/img/KuF0GgdG_J0aOg_u7Ki-gZFqGNM=/fit-in/200x150/filters:strip_icc()/pic650188.jpg
3028,By Jove,boardgame,1983,2,6,90,90,10,https://cf.geekdo-images.com/nzo2t-1f3YO1JtOoU0CyjA__thumb/img/_L-zp4tDt3LOSpVGJP7DO3fn6o0=/fit-in/200x150/filters:strip_icc()/pic265025.jpg
3029,Sheffield Shares,boardgame,1989,2,6,60,60,0,https://cf.geekdo-images.com/dLo2Ct-A78LLwhWC6fVdAg__thumb/img/Xg14I851W4w_i6TAZYOU8UIoDG0=/fit-in/200x150/filters:strip_icc()/pic6799954.jpg
3030,Baggage Claim,boardgame,1987,2,4,20,20,5,https://cf.geekdo-images.com/vuiOriyxXsFd9rU768x5uA__thumb/img/gC0diSGKtgunklyhbjglhO7YyuU=/fit-in/200x150/filters:strip_icc()/pic5127092.jpg
3031,Flightplan: The Airline Game,boardgame,1985,2,6,45,45,8,https://cf.geekdo-images.com/yousgJvs9cvVGbmEKp9MKg__thumb/img/-9IINKuVS1iwKgxvz03seJisVnU=/fit-in/200x150/filters:strip_icc()/pic18114.jpg
3033,Bus Boss,boardgame,1985,2,6,120,120,10,https://cf.geekdo-images.com/54nYN7uhA0SyeEy4ZMpC4w__thumb/img/bKN6GqqgrA486tbDKcMY-3J1nGE=/fit-in/200x150/filters:strip_icc()/pic41700.jpg
3034,Cluedo: Super Sleuth,boardgame,1995,2,6,30,30,10,https://cf.geekdo-images.com/boIFhKtkg5EvEovIytt3tQ__thumb/img/Mk49NW6-dOZymeSS_Y5oSliVaZM=/fit-in/200x150/filters:strip_icc()/pic198782.jpg
3035,The Last Days of the Grande Armee: The Four Days of Waterloo,boardgame,1998,2,2,180,180,0,https://cf.geekdo-images.com/2Tt0ccFq37WcxeprifMcRg__thumb/img/qjhx-C9KPtj2EcECrBwFJ7Liwrw=/fit-in/200x150/filters:strip_icc()/pic360035.jpg
3036,Kung Fu 2100,boardgame,1980,1,2,90,90,12,https://cf.geekdo-images.com/y5QhWM0X4eFF4RhEWZNiHA__thumb/img/13RzEopa3_UeMOx9_18MYOE3qXM=/fit-in/200x150/filters:strip_icc()/pic69316.jpg
3037,Escape from Altassar,boardgame,1982,2,2,60,60,10,https://cf.geekdo-images.com/5-3Xp6f3ycv47JY71gi-8w__thumb/img/7Q4SS0E2g2JwYwZkacEvkpX4Plk=/fit-in/200x150/filters:strip_icc()/pic4879232.jpg
