game_id,rank_type,rank,best_num_players,not_recommended_num_players,language_dependency,avg_rating,avg_bayes_rating,users_rated,avg_weight,total_owners,updated_at
46,boardgame,666,5,2,No necessary in-game text,7.16507,6.81688,8101,2.2475,8655,2024-01-27 10:05:18
46,strategygames,423,5,2,No necessary in-game text,7.16507,6.81688,8101,2.2475,8655,2024-01-27 10:05:18
47,boardgame,353,5,2,No necessary in-game text,7.42661,7.106,11087,2.2477,14027,2024-01-27 10:05:18
47,strategygames,246,5,2,No necessary in-game text,7.42661,7.106,11087,2.2477,14027,2024-01-27 10:05:18
48,boardgame,6470,4,2,No necessary in-game text,6.09305,5.6567,738,2.4638,1507,2024-01-27 10:05:18
48,strategygames,2091,4,2,No necessary in-game text,6.09305,5.6567,738,2.4638,1507,2024-01-27 10:05:18
49,boardgame,1936,4,1,No necessary in-game text,6.47425,6.21516,6193,1.3631,8487,2024-01-27 10:05:18
49,familygames,637,4,1,No necessary in-game text,6.47425,6.21516,6193,1.3631,8487,2024-01-27 10:05:18
50,boardgame,328,2,1,No necessary in-game text,7.2321,7.12952,45555,1.4796,65822,2024-01-27 10:05:18
50,familygames,78,2,1,No necessary in-game text,7.2321,7.12952,45555,1.4796,65822,2024-01-27 10:05:18
51,boardgame,832,4,1,No necessary in-game text,7.02562,6.70934,9041,2.3852,9607,2024-01-27 10:05:18
51,abstracts,47,4,1,No necessary in-game text,7.02562,6.70934,9041,2.3852,9607,2024-01-27 10:05:18
52,boardgame,8062,3,1,Moderate in-game text - needs crib sheet or paste ups,6.17994,5.6047,525,2.6087,991,2024-01-27 10:05:18
52,wargames,2106,3,1,Moderate in-game text - needs crib sheet or paste ups,6.17994,5.6047,525,2.6087,991,2024-01-27 10:05:18
53,boardgame,19724,0,0,Unknown,5.98026,5.50778,38,2.5,113,2024-01-27 10:05:18
54,boardgame,326,4,1,No necessary in-game text,7.3277,7.12995,19959,2.7822,26838,2024-01-27 10:05:18
54,strategygames,252,4,1,No necessary in-game text,7.3277,7.12995,19959,2.7822,26838,2024-01-27 10:05:18
55,boardgame,24795,4,1,Extensive use of text - massive conversion needed to be playable,4.8567,5.46529,97,1.5,295,2024-01-27 10:05:18
57,boardgame,5699,4,1,Some necessary text - easily memorized or small crib sheet,6.65378,5.69452,427,2.9216,915,2024-01-27 10:05:18
57,strategygames,1945,4,1,Some necessary text - easily memorized or small crib sheet,6.65378,5.69452,427,2.9216,915,2024-01-27 10:05:18
58,boardgame,3224,4,1,Moderate in-game text - needs crib sheet or paste ups,6.51858,5.93628,1681,2.6442,3532,2024-01-27 10:05:18
58,thematic,647,4,1,Moderate in-game text - needs crib sheet or paste ups,6.51858,5.93628,1681,2.6442,3532,2024-01-27 10:05:18
59,boardgame,2847,4,1,No necessary in-game text,6.69966,5.9999,1429,2.5693,2025,2024-01-27 10:05:18
59,strategygames,1290,4,1,No necessary in-game text,6.69966,5.9999,1429,2.5693,2025,2024-01-27 10:05:18
60,boardgame,1147,4,2,Some necessary text - easily memorized or small crib sheet,7.066,6.52595,4048,2.7805,3847,2024-01-27 10:05:18
60,strategygames,655,4,2,Some necessary text - easily memorized or small crib sheet,7.066,6.52595,4048,2.7805,3847,2024-01-27 10:05:18
61,boardgame,24143,3,1,No necessary in-game text,5.43434,5.47913,678,1.75,1006,2024-01-27 10:05:18
61,abstracts,1282,3,1,No necessary in-game text,5.43434,5.47913,678,1.75,1006,2024-01-27 10:05:18
62,boardgame,24805,3,1,Unknown,5.30819,5.46509,354,1.8462,681,2024-01-27 10:05:18
62,thematic,1553,3,1,Unknown,5.30819,5.46509,354,1.8462,681,2024-01-27 10:05:18
63,boardgame,6595,4,1,Moderate in-game text - needs crib sheet or paste ups,6.44871,5.65112,448,2.6296,1223,2024-01-27 10:05:18
63,wargames,1273,4,1,Moderate in-game text - needs crib sheet or paste ups,6.44871,5.65112,448,2.6296,1223,2024-01-27 10:05:18
64,boardgame,7396,4,1,Some necessary text - easily memorized or small crib sheet,6.25809,5.62304,465,2.5424,795,2024-01-27 10:05:18
64,wargames,1513,4,1,Some necessary text - easily memorized or small crib sheet,6.25809,5.62304,465,2.5424,795,2024-01-27 10:05:18
64,strategygames,2243,4,1,Some necessary text - easily memorized or small crib sheet,6.25809,5.62304,465,2.5424,795,2024-01-27 10:05:18
65,boardgame,Not Ranked,0,0,Unknown,4.16071,0,28,1.3333,59,2024-01-27 10:05:18
66,boardgame,1515,4,1,Some necessary text - easily memorized or small crib sheet,7.03867,6.35759,2589,2.8728,3824,2024-01-27 10:05:18
66,strategygames,798,4,1,Some necessary text - easily memorized or small crib sheet,7.03867,6.35759,2589,2.8728,3824,2024-01-27 10:05:18
67,boardgame,7121,2,1,No necessary in-game text,6.39267,5.63174,382,2.4848,876,2024-01-27 10:05:18
67,wargames,1579,2,1,No necessary in-game text,6.39267,5.63174,382,2.4848,876,2024-01-27 10:05:18
68,boardgame,4414,4,1,Extensive use of text - massive conversion needed to be playable,7.03813,5.78944,501,3.2206,912,2024-01-27 10:05:18
68,wargames,501,4,1,Extensive use of text - massive conversion needed to be playable,7.03813,5.78944,501,3.2206,912,2024-01-27 10:05:18
69,boardgame,15738,2,1,No necessary in-game text,6.71458,5.52456,48,2.4,113,2024-01-27 10:05:18
69,abstracts,793,2,1,No necessary in-game text,6.71458,5.52456,48,2.4,113,2024-01-27 10:05:18
70,boardgame,1862,3,5,No necessary in-game text,6.85772,6.23729,2447,2.2154,2680,2024-01-27 10:05:18
70,strategygames,964,3,5,No necessary in-game text,6.85772,6.23729,2447,2.2154,2680,2024-01-27 10:05:18
70,familygames,544,3,5,No necessary in-game text,6.85772,6.23729,2447,2.2154,2680,2024-01-27 10:05:18
71,boardgame,427,7,2,Some necessary text - easily memorized or small crib sheet,7.49692,7.0235,7477,3.6473,11003,2024-01-27 10:05:18
71,strategygames,298,7,2,Some necessary text - easily memorized or small crib sheet,7.49692,7.0235,7477,3.6473,11003,2024-01-27 10:05:18
72,boardgame,2471,4,1,No necessary in-game text,6.67605,6.08015,1987,2.5676,4333,2024-01-27 10:05:18
72,strategygames,1183,4,1,No necessary in-game text,6.67605,6.08015,1987,2.5676,4333,2024-01-27 10:05:18
73,boardgame,2018,6,1,No necessary in-game text,6.98718,6.19196,1802,2.0938,2042,2024-01-27 10:05:18
73,strategygames,985,6,1,No necessary in-game text,6.98718,6.19196,1802,2.0938,2042,2024-01-27 10:05:18
73,familygames,566,6,1,No necessary in-game text,6.98718,6.19196,1802,2.0938,2042,2024-01-27 10:05:18
74,boardgame,6785,6,2,Extensive use of text - massive conversion needed to be playable,5.75655,5.64372,19115,1.1551,29243,2024-01-27 10:05:18
74,partygames,701,6,2,Extensive use of text - massive conversion needed to be playable,5.75655,5.64372,19115,1.1551,29243,2024-01-27 10:05:18
75,boardgame,23444,6,1,Some necessary text - easily memorized or small crib sheet,5.4957,5.48674,1420,1.218,2473,2024-01-27 10:05:18
75,partygames,799,6,1,Some necessary text - easily memorized or small crib sheet,5.4957,5.48674,1420,1.218,2473,2024-01-27 10:05:18
76,boardgame,5101,5,2,No necessary in-game text,6.40582,5.73298,780,2.5484,1023,2024-01-27 10:05:18
76,strategygames,1907,5,2,No necessary in-game text,6.40582,5.73298,780,2.5484,1023,2024-01-27 10:05:18
77,boardgame,2695,2,2+,No necessary in-game text,7.67817,6.02981,688,3.6,1157,2024-01-27 10:05:18
77,wargames,135,2,2+,No necessary in-game text,7.67817,6.02981,688,3.6,1157,2024-01-27 10:05:18
78,boardgame,7968,2,1,Moderate in-game text - needs crib sheet or paste ups,6.8596,5.60693,190,3.4706,576,2024-01-27 10:05:18
78,wargames,1178,2,1,Moderate in-game text - needs crib sheet or paste ups,6.8596,5.60693,190,3.4706,576,2024-01-27 10:05:18
79,boardgame,12143,2,1,Moderate in-game text - needs crib sheet or paste ups,6.34016,5.54593,127,3.0769,422,2024-01-27 10:05:18
79,wargames,2282,2,1,Moderate in-game text - needs crib sheet or paste ups,6.34016,5.54593,127,3.0769,422,2024-01-27 10:05:18
82,boardgame,5859,2,1,Moderate in-game text - needs crib sheet or paste ups,6.74752,5.68599,370,2.9216,966,2024-01-27 10:05:18
82,wargames,830,2,1,Moderate in-game text - needs crib sheet or paste ups,6.74752,5.68599,370,2.9216,966,2024-01-27 10:05:18
83,boardgame,11306,2,1,Unknown,6.43448,5.55394,145,2.8519,486,2024-01-27 10:05:18
83,wargames,2038,2,1,Unknown,6.43448,5.55394,145,2.8519,486,2024-01-27 10:05:18
84,boardgame,2026,2,1,No necessary in-game text,7.54918,6.19074,1072,3.4,2388,2024-01-27 10:05:18
84,wargames,107,2,1,No necessary in-game text,7.54918,6.19074,1072,3.4,2388,2024-01-27 10:05:18
85,boardgame,3719,2,1,No necessary in-game text,6.94799,5.86582,738,2.1279,1320,2024-01-27 10:05:18
85,wargames,450,2,1,No necessary in-game text,6.94799,5.86582,738,2.1279,1320,2024-01-27 10:05:18
