name,game_id,type,avg_rating,avg_bayes_rating,users_rated,weight,year_published,min_players,max_players,min_play_time,max_play_time,min_age,owned_by,updated_at
Union vs. Central,154,boardgame,6.7955,5.56539,111,3.75,1999,2,2,360,360,12,216,2024-01-23 18:07:59
Was sticht?,155,boardgame,6.97122,5.86467,667,2.3966,1993,3,4,60,60,12,990,2024-01-23 18:07:59
Wildlife Adventure,156,boardgame,6.80794,5.79228,617,1.8814,1985,2,6,60,60,10,943,2024-01-23 18:07:59
Eurorails,157,boardgame,7.10241,6.21368,1835,2.7432,1990,2,6,180,240,10,2747,2024-01-23 18:07:59
The Awful Green Things From Outer Space,162,boardgame,6.54685,6.04661,2636,1.8776,1979,2,2,60,90,12,4804,2024-01-23 18:07:59
Balderdash,163,boardgame,6.46916,6.17842,6202,1.4071,1984,2,6,60,60,12,11226,2024-01-23 18:07:59
"Before I Kill You, Mister Spy...",164,boardgame,5.44137,5.46173,1246,1.265,1996,2,6,30,30,12,2522,2024-01-23 18:07:59
Black Box,165,boardgame,6.39902,5.76866,887,2.0658,1977,1,2,20,20,10,1688,2024-01-23 18:07:59
Black Death,166,boardgame,5.73571,5.50656,140,1.85,1993,2,6,120,120,0,275,2024-01-23 18:07:59
Dicke Kartoffeln,167,boardgame,6.19939,5.54858,163,3.3125,1989,2,6,120,120,12,378,2024-01-23 18:07:59
Empire Builder,168,boardgame,6.95463,6.31326,3003,2.6305,1982,2,6,180,180,12,4453,2024-01-23 18:07:59
En Garde,169,boardgame,6.49898,5.94795,1696,1.3937,1993,2,2,20,30,8,2206,2024-01-23 18:07:59
Family Business,170,boardgame,6.07154,5.84488,4223,1.3211,1982,2,6,30,30,8,6550,2024-01-23 18:07:59
Chess,171,boardgame,7.20064,7.00768,35713,3.6542,1475,2,2,0,0,6,51971,2024-01-23 18:07:59
For Sale,172,boardgame,7.25075,7.12863,30203,1.2522,1997,3,6,30,30,10,37334,2024-01-23 18:07:59
Formula Dé,173,boardgame,6.99445,6.64392,7868,1.9591,1997,2,10,120,120,10,8341,2024-01-23 18:07:59
T-Rex,174,boardgame,5.49011,5.49763,273,1.9091,1999,3,5,45,45,10,652,2024-01-23 18:07:59
What the Heck?,175,boardgame,6.46967,6.0182,2462,1.169,1988,2,5,20,20,7,4169,2024-01-23 18:07:59
Give Me the Brain!,176,boardgame,5.83345,5.64054,2157,1.2743,1996,3,8,15,15,10,3714,2024-01-23 18:07:59
Mole Hill,178,boardgame,5.9875,5.54592,216,1.7188,1997,2,2,15,15,8,369,2024-01-23 18:07:59
Nuba,179,boardgame,6.17016,5.51929,61,2,1995,2,2,10,10,12,123,2024-01-23 18:07:59
Pool Position,180,boardgame,5.73116,5.51429,138,1.7273,1999,2,5,30,30,10,269,2024-01-23 18:07:59
Risk,181,boardgame,5.59463,5.45704,35163,2.0684,1959,2,6,120,120,10,58320,2024-01-23 18:07:59
Knights of Charlemagne,182,boardgame,6.37712,5.73001,719,1.4239,1995,2,4,30,30,8,1063,2024-01-23 18:07:59
Stonehenge,183,boardgame,6.28273,5.54798,139,1.8571,1994,2,2,15,15,10,320,2024-01-23 18:07:59
Devil Bunny Needs a Ham,185,boardgame,5.40267,5.45862,718,1.1757,1998,2,5,30,30,8,1337,2024-01-23 18:07:59
Split,186,boardgame,5.90429,5.53318,202,1.1333,1999,2,6,30,30,12,574,2024-01-23 18:07:59
Go,188,boardgame,7.64999,7.31498,17012,3.9316,-2200,2,2,30,180,8,23989,2024-01-23 18:07:59
Die Siedler von Nürnberg,189,boardgame,6.91224,5.93728,937,2.7792,1999,3,4,90,90,10,1896,2024-01-23 18:07:59
Dolce Vita,190,boardgame,6.13731,5.55529,201,1.6875,1999,3,5,30,30,10,393,2024-01-23 18:07:59
Nicht die Bohne!,192,boardgame,6.32319,5.7875,1087,1.3486,1999,3,6,45,45,10,1349,2024-01-23 18:07:59
Fill or Bust,193,boardgame,5.76708,5.55155,675,1.1556,1981,2,10,30,30,8,1509,2024-01-23 18:07:59
Groo: The Game,194,boardgame,6.28697,5.71026,843,1.5,1997,2,4,45,45,10,1193,2024-01-23 18:07:59
NASCAR Champions,195,boardgame,5.4662,5.49642,108,1.1,1998,2,5,30,30,8,228,2024-01-23 18:07:59
Kremlin,196,boardgame,6.96827,6.3398,2929,2.8487,1986,3,6,75,75,12,4148,2024-01-23 18:07:59
HellRail: Second Perdition,197,boardgame,6.03176,5.52334,96,2,1999,3,4,75,75,13,144,2024-01-23 18:07:59
Buried Treasure,198,boardgame,6.0474,5.55632,246,1.5714,1992,2,4,30,30,10,433,2024-01-23 18:07:59
Manhattan,199,boardgame,6.73035,6.39572,5694,1.9233,1994,2,4,45,45,10,8029,2024-01-23 18:07:59
Entdecker,200,boardgame,6.42104,5.87857,1487,2.2468,1996,2,4,60,60,10,2560,2024-01-23 18:07:59
The Rose King,201,boardgame,6.81134,6.33281,3665,1.9372,1992,2,2,30,30,10,5887,2024-01-23 18:07:59
Targui,202,boardgame,6.39462,5.72856,768,2.377,1988,2,4,120,120,12,1696,2024-01-23 18:07:59
Skworms,203,boardgame,4,0,7,1,1997,2,4,30,30,6,24,2024-01-23 18:07:59
Stephenson's Rocket,204,boardgame,6.92039,6.35318,2960,3.0541,1999,2,4,60,60,12,4737,2024-01-23 18:07:59
Jalape-NO!,206,boardgame,6.11371,5.55729,224,1.3889,1998,3,9,45,45,10,424,2024-01-23 18:07:59
Twitch,207,boardgame,6.08187,5.54714,182,1.1667,1998,3,6,15,15,10,392,2024-01-23 18:07:59
Ex & Hopp,208,boardgame,5.44571,5.49809,70,1.1667,1996,2,6,30,30,10,161,2024-01-23 18:07:59
Don Pepe,210,boardgame,6.24447,5.64235,553,1.3,1999,3,6,30,30,8,1045,2024-01-23 18:07:59
Times to Remember,211,boardgame,6.29255,5.57865,243,1.1333,1992,2,10,45,45,10,492,2024-01-23 18:07:59
Café International,214,boardgame,6.21634,5.90182,2842,1.6498,1989,2,4,45,60,10,4289,2024-01-23 18:07:59
Tichu,215,boardgame,7.57872,7.29823,15332,2.3372,1991,4,4,60,60,10,24088,2024-01-23 18:07:59
Atlanteon,216,boardgame,5.79492,5.56736,742,2.026,1992,2,2,30,30,12,1433,2024-01-23 18:07:59
A la carte,217,boardgame,6.45923,6.07754,3280,1.298,1989,2,4,30,30,8,4584,2024-01-23 18:07:59
High-Bid,218,boardgame,5.87302,5.54222,291,1.8182,1963,2,4,25,25,12,1246,2024-01-23 18:07:59
Volle Hütte,219,boardgame,6.12977,5.54885,173,2.0909,1997,3,5,30,30,12,262,2024-01-23 18:07:59
High Society,220,boardgame,7.15475,6.92147,13120,1.4855,1995,3,5,15,30,10,18912,2024-01-23 18:07:59
Ikusa,221,boardgame,7.02734,6.52393,5184,2.9518,1986,2,5,240,360,12,8884,2024-01-23 18:07:59
Space Beans,222,boardgame,6.08351,5.7484,1535,1.3833,1999,2,6,40,40,10,2716,2024-01-23 18:07:59
Expedition,223,boardgame,6.78118,5.96691,1174,1.9764,1996,2,6,90,90,10,1491,2024-01-23 18:07:59
History of the World,224,boardgame,7.11591,6.57368,4553,2.7666,1991,3,6,135,270,12,5742,2024-01-23 18:07:59
Icehouse,225,boardgame,6.62405,5.73749,605,2.5957,1989,3,5,20,20,8,1311,2024-01-23 18:07:59
Isi,226,boardgame,6.59659,5.52302,44,0,1999,2,2,30,30,12,79,2024-01-23 18:07:59
Lunch Money,228,boardgame,5.62438,5.51702,2629,1.5123,1996,2,4,20,20,13,4577,2024-01-23 18:07:59
King of the Elves,229,boardgame,6.19394,5.76735,1320,2.0242,1999,2,6,60,60,10,2543,2024-01-23 18:07:59
Merchant of Venus,230,boardgame,7.14171,6.42619,2763,2.8357,1988,1,6,180,180,12,3487,2024-01-23 18:07:59
Geronimo,231,boardgame,5.75045,5.51284,248,3.1935,1995,1,5,480,480,12,807,2024-01-23 18:07:59
Serenissima,232,boardgame,6.85641,6.18922,2307,3.0389,1996,2,4,120,120,12,3210,2024-01-23 18:07:59
Hannibal: Rome vs. Carthage,234,boardgame,7.78276,7.08385,4981,3.4547,1996,2,2,40,200,12,7412,2024-01-23 18:07:59
Blackbeard,235,boardgame,6.37297,5.8431,1494,3.216,1991,1,4,120,240,12,3079,2024-01-23 18:07:59
Wooden Ships & Iron Men,237,boardgame,7.06791,6.25604,2091,3.1025,1974,2,2,60,300,12,4362,2024-01-23 18:07:59
"Wagram: The Peace of Vienna, 5-6 July 1809",239,boardgame,6.7536,5.56026,111,2.125,1975,1,2,90,90,12,224,2024-01-23 18:07:59
Britannia,240,boardgame,7.18695,6.60414,4261,3.1604,1986,3,5,180,300,12,6081,2024-01-23 18:07:59
Age of Exploration,241,boardgame,6.04241,5.54395,191,2.85,1994,1,6,180,180,14,507,2024-01-23 18:07:59
Junta,242,boardgame,6.69014,6.32313,5763,2.8598,1979,2,7,240,240,16,9488,2024-01-23 18:07:59
Advanced Squad Leader,243,boardgame,8.00689,7.00025,3816,4.7379,1985,2,2,120,480,14,6337,2024-01-23 18:07:59
Circus Maximus,244,boardgame,6.77353,6.04288,1665,2.6205,1979,2,10,120,120,12,3089,2024-01-23 18:07:59
Politika,246,boardgame,5.10634,5.4892,41,1.5,1996,3,7,0,0,12,83,2024-01-23 18:07:59
Gloria Picktoria,247,boardgame,6.34166,5.7928,1104,1.4815,1996,2,5,45,45,10,2144,2024-01-23 18:07:59
Blood Royale,248,boardgame,6.53532,5.73413,658,3.3231,1987,3,5,240,240,12,1248,2024-01-23 18:07:59
Lifeboats,249,boardgame,6.57448,6.17567,3626,1.7849,1993,3,6,90,90,12,3865,2024-01-23 18:07:59
Colonial Diplomacy,250,boardgame,6.63144,5.67312,395,2.8,1994,2,7,360,360,12,732,2024-01-23 18:07:59
The Battle of Borodino: Napoleon in Russia 1812,252,boardgame,6.72588,5.57909,165,2.0345,1972,2,2,180,180,12,459,2024-01-23 18:07:59
Empires in Arms,254,boardgame,7.60696,6.24579,1313,4.4057,1983,2,7,120,12000,14,2296,2024-01-23 18:07:59
"Jena-Auerstadt: The Battle for Prussia, 14 October 1806",255,boardgame,5.99324,5.51254,74,2.1,1975,2,2,150,150,12,200,2024-01-23 18:07:59
Mississippi Queen,256,boardgame,6.31351,6.03643,4157,1.6927,1997,3,5,45,45,10,6373,2024-01-23 18:07:59
Kill Doctor Lucky,257,boardgame,6.15277,5.95201,7138,1.6444,1996,3,8,45,45,12,12494,2024-01-23 18:07:59
